ID,DateTimeUTC,TapType,StopId,CompanyId,BusID,PAN
1,2021-09-22 21:43:23,ON,Stop1,Company1,Bus37,5500005555555550
2,2021-09-22 21:43:24,OFF,Stop2,Company1,Bus37,5500005555555550
3,2021-09-22 21:43:25,ON,Stop3,Company2,Bus1,5500005555555551
4,2021-09-22 21:43:27,ON,Stop2,Company1,Bus35,5500005555555552
5,2021-09-22 21:43:26,OFF,Stop2,Company2,Bus1,5500005555555551
6,2021-09-22 21:43:28,OFF,Stop3,Company1,Bus35,5500005555555552
7,2021-09-22 21:43:29,ON,Stop2,Company1,Bus37,5500005555555550
8,2021-09-22 21:43:30,OFF,Stop2,Company1,Bus37,5500005555555550
9,2021-09-22 21:43:31,ON,Stop1,Company1,Bus37,5500005555555553
10,2021-09-22 21:43:32,ON,Stop2,Company3,Bus2,5500005555555554
11,2021-09-22 21:43:33,OFF,Stop3,Company1,Bus37,5500005555555553
12,2021-09-22 21:43:34,OFF,Stop1,Company3,Bus2,5500005555555554
13,2021-09-22 21:43:35,ON,Stop2,Company1,Bus37,5500005555555553
14,2021-09-22 21:43:36,ON,Stop3,Company2,Bus1,5500005555555554
15,2021-09-22 21:43:37,OFF,Stop3,Company1,Bus37,5500005555555553
16,2021-09-22 21:43:38,OFF,Stop1,Company2,Bus1,5500005555555554
17,2021-09-22 21:43:39,ON,Stop3,Company1,Bus37,5500005555555550
18,2021-09-22 21:43:40,ON,Stop3,Company2,Bus1,5500005555555551
19,2021-09-22 21:43:41,OFF,Stop2,Company1,Bus37,5500005555555550
20,2021-09-22 21:43:42,ON,Stop1,Company1,Bus37,5500005555555552
21,2021-09-22 21:43:43,ON,Stop2,Company1,Bus35,5500005555555553
22,2021-09-22 21:43:44,OFF,Stop1,Company2,Bus1,5500005555555551
23,2021-09-22 21:43:45,OFF,Stop3,Company1,Bus37,5500005555555552
24,2021-09-22 21:43:46,OFF,Stop1,Company1,Bus35,5500005555555553
25,2021-09-22 21:43:47,ON,Stop2,Company3,Bus2,5500005555555554
26,2021-09-22 21:43:48,ON,Stop1,Company1,Bus37,5500005555555550
27,2021-09-22 21:43:49,OFF,Stop2,Company1,Bus37,5500005555555550
28,2021-09-22 21:43:50,ON,Stop3,Company2,Bus1,5500005555555551
29,2021-09-22 21:43:51,ON,Stop2,Company1,Bus35,5500005555555552
30,2021-09-22 21:43:52,OFF,Stop2,Company2,Bus1,5500005555555551
31,2021-09-22 21:43:53,OFF,Stop3,Company1,Bus35,5500005555555552
32,2021-09-22 21:43:54,ON,Stop2,Company1,Bus37,5500005555555550
33,2021-09-22 21:43:55,OFF,Stop2,Company1,Bus37,5500005555555550
34,2021-09-22 21:43:56,ON,Stop1,Company1,Bus37,5500005555555553
35,2021-09-22 21:43:57,ON,Stop2,Company3,Bus2,5500005555555554
36,2021-09-22 21:43:58,OFF,Stop3,Company1,Bus37,5500005555555553
37,2021-09-22 21:43:59,OFF,Stop1,Company3,Bus2,5500005555555554
38,2021-09-22 21:44:00,ON,Stop2,Company1,Bus37,5500005555555553
39,2021-09-22 21:44:01,ON,Stop3,Company2,Bus1,5500005555555554
40,2021-09-22 21:44:02,OFF,Stop3,Company1,Bus37,5500005555555553
41,2021-09-22 21:44:03,OFF,Stop1,Company2,Bus1,5500005555555554
42,2021-09-22 21:44:04,ON,Stop3,Company1,Bus37,5500005555555550
43,2021-09-22 21:44:05,ON,Stop3,Company2,Bus1,5500005555555551
44,2021-09-22 21:44:06,OFF,Stop2,Company1,Bus37,5500005555555550
45,2021-09-22 21:44:07,ON,Stop1,Company1,Bus37,5500005555555552
46,2021-09-22 21:44:08,ON,Stop2,Company1,Bus35,5500005555555553
47,2021-09-22 21:44:09,OFF,Stop1,Company2,Bus1,5500005555555551
48,2021-09-22 21:44:10,OFF,Stop3,Company1,Bus37,5500005555555552
49,2021-09-22 21:44:11,OFF,Stop1,Company1,Bus35,5500005555555553
50,2021-09-22 21:44:12,ON,Stop2,Company3,Bus2,5500005555555554
51,2021-09-22 21:44:13,ON,Stop1,Company1,Bus37,5500005555555550
52,2021-09-22 21:44:14,OFF,Stop2,Company1,Bus37,5500005555555550
53,2021-09-22 21:44:15,ON,Stop3,Company2,Bus1,5500005555555551
